Comment,Designator,Footprint,LCSC
100K,R9,R_0805_2012Metric,C103905
ACPL-C870,U1,SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm,C1346335
1uF,C19,C_1206_3216Metric,C13832
ACS758xCB-200B-PFF,U3,Allegro_CB_PFF,C163288
10nF,"C22,C23",C_0805_2012Metric,C1710
10K,"R15,R17,R23,R24,R7,R8",R_0805_2012Metric,C17414
120R,R16,R_0805_2012Metric,C17437
150k,R21,R_0805_2012Metric,C17470
330R,"R12,R13",R_0805_2012Metric,C17630
4k7,"R1,R10,R11,R18,R2",R_0805_2012Metric,C17673
470k,R22,R_0805_2012Metric,C17709
470R,R14,R_0805_2012Metric,C17710
680k,R20,R_0805_2012Metric,C17797
GREEN,D2,LED_0805_2012Metric,C2297
1uF,C21,C_0805_2012Metric,C28323
10u,"C1,C16,C18,C4,C7",C_0805_2012Metric,C2932476
ADS1115IDGS,U2,TSSOP-10_3x3mm_P0.5mm,C37593
ADM2483xRW,U5,SOIC-16W_7.5x10.3mm_P1.27mm,C386280
LM5009A,U6,MSOP-8_3x3mm_P0.65mm,C477978
ATtiny1614-SS,U4,SOIC-14_3.9x8.7mm_P1.27mm,C481364
100nF,"C10,C8,C9",C_0805_2012Metric,C49678
MEE1S0505SC,PS1,Converter_DCDC_Murata_MEE1SxxxxSC_THT,C5183119
3.3nF,C24,C_0805_2012Metric,C53175
500,RV1,Potentiometer_Bourns_3296W_Vertical,C69564
100nF 100V,C20,C_0805_2012Metric,C696367
"Fuse, 0.5A",F1,Fuse_1210_3225Metric,C720079
47uF,C25,C_1210_3225Metric,C77101
RED,D3,LED_0805_2012Metric,C84256
400V 1A 1.3V @ 1A 150ns SMA,D4,D_SMA,C85103
1mH,L1,L_TDK_SLF7045,C91523
