Designator,Mid X,Mid Y,Rotation,Layer
_143,144.9832,-61.8998,0.0,top
_142,98.679,-71.879,90.0,top
_141,151.003,-66.3448,270.0,top
_140,155.448,-74.7136,90.0,top
_139,153.924,-63.1444,90.0,top
_138,101.727,-71.879,90.0,top
_137,130.5052,-64.516333,90.0,top
_136,105.7402,-66.3448,0.0,top
_135,157.0228,-72.046933,90.0,top
_134,132.0292,-67.183,90.0,top
_133,97.155,-63.5,90.0,top
_132,124.841,-67.183,90.0,top
_131,121.793,-64.513,90.0,top
_130,147.1168,-73.0504,180.0,top
_129,167.7924,-62.2808,0.0,top
_128,118.237,-66.3702,0.0,top
_127,147.1168,-74.5998,180.0,top
_126,126.365,-64.513,90.0,top
_125,124.841,-63.183,90.0,top
_124,121.793,-65.853,90.0,top
_123,101.727,-66.167,90.0,top
_122,97.155,-73.1936,90.0,top
_121,158.5468,-64.477733,90.0,top
_120,100.203,-73.219,90.0,top
_119,97.155,-74.5236,90.0,top
_118,157.0228,-67.1444,90.0,top
_117,138.9888,-70.739,90.0,top
_116,98.679,-70.549,90.0,top
_115,153.924,-67.1444,90.0,top
_114,109.7534,-64.135,0.0,top
_113,158.5468,-72.046933,90.0,top
_112,153.924,-65.811066,90.0,top
_111,116.3574,-70.866,0.0,top
_110,157.0228,-74.7136,90.0,top
_109,109.855,-73.025,0.0,top
_108,133.604,-63.183,90.0,top
_107,142.8242,-62.611,0.0,top
_106,98.679,-64.83,90.0,top
_105,89.6874,-75.8952,0.0,top
_104,153.924,-74.7136,90.0,top
_103,184.658,-59.436,0.0,top
_102,157.0228,-65.811066,90.0,top
_101,109.7534,-62.3062,0.0,top
_100,97.155,-67.5,90.0,top
_99,184.658,-108.458,0.0,top
_98,107.4928,-66.3448,0.0,top
_97,158.5468,-74.7136,90.0,top
_96,100.203,-70.549,90.0,top
_95,158.5468,-65.811066,90.0,top
_94,97.155,-70.5236,90.0,top
_93,107.4928,-70.866,0.0,top
_92,100.203,-71.879,90.0,top
_91,98.679,-67.497,90.0,top
_90,167.7924,-75.9206,0.0,top
_89,123.317,-67.183,90.0,top
_88,97.155,-66.166666,90.0,top
_87,105.2576,-68.6308,0.0,top
_86,114.3,-73.0504,0.0,top
_85,123.317,-64.513,90.0,top
_84,83.82,-108.458,0.0,top
_83,101.727,-70.549,90.0,top
_82,126.365,-67.183,90.0,top
_81,100.203,-63.5,90.0,top
_80,155.448,-67.1444,90.0,top
_79,98.679,-74.549,90.0,top
_78,157.0228,-73.380266,90.0,top
_77,155.448,-72.046933,90.0,top
_76,105.7656,-70.8406,0.0,top
_75,139.065,-66.421,90.0,top
_74,126.365,-65.853,90.0,top
_73,147.1422,-64.1858,0.0,top
_72,114.3,-75.057,0.0,top
_71,140.5382,-70.739,90.0,top
_70,149.4536,-66.3448,270.0,top
_69,158.5468,-67.1444,90.0,top
_68,147.1422,-62.6872,0.0,top
